Course,University,Location,Subject,Link
Master of Science in Photonics,Friedrich Schiller University Jena,Jena,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3880/
Master of Science in Automotive Engineering,RWTH Aachen University,Aachen,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4599/
Engineering Sciences (Mechanical & Plastics Engineering / Mechatronics / Electrical Engineering & Information Technology),Rosenheim Technical University of Applied Sciences,Rosenheim,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4636/
"Biomedical Engineering, Master of Science",Technische Hochschule Lübeck,Lübeck,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4162/
Hydro Science and Engineering (HSE),Dresden University of Technology,Dresden,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3816/
Lasers and Photonics (Master of Science),Ruhr-Universität Bochum,Bochum,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4365/
Master of Science in Engineering Physics,Carl von Ossietzky University of Oldenburg,Oldenburg,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3746/
Master of Science in Environmental Engineering,Technical University of Munich,München,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4185/
Master of Science in Medical Photonics,Friedrich Schiller University Jena,Jena,Medicine in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4708/
Master of Science in Micro- and Nanotechnologies,Technische Universität Ilmenau,Ilmenau,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4823/
Master of Science in Optoelectronics & Photonics,Paderborn University,Paderborn,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4525/
MSc Materials Science and Engineering,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8297/
Quantum Engineering (Master of Science),Leibniz University Hannover,Hannover,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8284/
